filename,Gletscher,1850F,L1850,1973F,L1973,1985,1999F,L2000,L2001,L2002,L2003,L2004,L2005,L2006,L2007,L2008,L2009,L2010,L2011,L2012,L2013
,Fläche,Länge,Fläche,Länge,Länge,Fläche,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge,Länge
,km2,km,km2,km,km,km2,km,km,km,km,km,km,km,km,km,km,km,km,km,km
laemmern.csv,Lämmern,7.1 ,4.4 ,4.8 ,2.7 ,2.6 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.3 ,2.3 ,2.3
eiger.csv,Eiger,2.7 ,3.5 ,2.1 ,2.6 ,2.7 ,2.0 ,2.5 ,2.5 ,2.5 ,2.5 ,2.4 ,2.4 ,2.4 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.2 ,2.1
damma.csv,Damma,6.6 ,3.2 ,5.1 ,2.3 ,2.5 ,4.8 ,2.5 ,2.5 ,2.5 ,2.4 ,  ,  ,  ,  ,  ,  ,  ,2.4 ,2.4 ,2.4
ammerten.csv,Ammerten,1.7 ,2.8 ,1.2 ,2.5 ,2.4 ,0.7 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.4
glaernisch.csv,Glärnisch,2.3 ,3.5 ,1.7 ,2.5 ,2.5 ,1.4 ,2.4 ,2.4 ,2.4 ,2.4 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3
lenta.csv,Lenta,2.2 ,3.9 ,1.4 ,2.6 ,2.5 ,0.8 ,2.2 ,2.2 ,2.1 ,2.1 ,2.1 ,2.1 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,1.9 ,1.9 ,1.9
porchabella.csv,Porchabella,4.5 ,3.3 ,2.6 ,2.4 ,2.2 ,1.6 ,2.1 ,2.1 ,2.1 ,2.1 ,2.1 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,1.9 ,1.9 ,1.9 ,1.9
rotfirn.csv,Rotfirn (Nord),1.6 ,3.2 ,1.3 ,2.2 ,2.2 ,1.0 ,2.1 ,2.1 ,2.1 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,1.9 ,1.9 ,1.9
verstankla.csv,Verstankla,2.0 ,2.7 ,1.3 ,2.2 ,2.2 ,0.9 ,2.1 ,2.1 ,2.1 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,1.9 ,1.9 ,1.9
tiatscha.csv,Tiatscha,2.8 ,3.5 ,2.1 ,2.0 ,2.1 ,2.0 ,2.0 ,2.1 ,2.0 ,2.0 ,2.0 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.7 ,1.7 ,1.7 ,1.7
endarrey.csv,En Darrey,2.8 ,3.1 ,1.9 ,2.2 ,2.0 ,1.1 ,2.0 ,2.0 ,2.0 ,2.0 ,2.0 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,  ,  ,
wallenbur.csv,Wallenbur,2.5 ,3.2 ,1.7 ,2.0 ,2.0 ,1.5 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,1.8
granddesert.csv,Grand Désert,3.1 ,3.6 ,1.9 ,2.2 ,2.1 ,1.3 ,1.9 ,1.9 ,1.9 ,1.8 ,1.8 ,1.8 ,1.8 ,1.7 ,1.7 ,1.7 ,1.6 ,1.6 ,1.6 ,
cambrena.csv,Cambrena,2.6 ,2.7 ,1.8 ,1.9 ,1.9 ,1.6 ,1.9 ,1.9 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.7 ,1.7 ,  ,1.7 ,1.7 ,1.7
vorab.csv,Vorab,4.0 ,3.0 ,2.2 ,2.0 ,2.0 ,1.8 ,1.8 ,1.8 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6 ,1.6
cavagnoli.csv,Cavagnoli,1.9 ,2.8 ,1.4 ,2.0 ,2.0 ,0.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,
montfort.csv,Mont Fort (Tortin),1.4 ,2.7 ,1.1 ,2.1 ,2.0 ,0.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.6 ,1.6 ,  ,  ,1.6 ,1.6 ,1.6 ,1.6
kaltwasser.csv,Kaltwasser,3.3 ,2.6 ,1.9 ,1.6 ,1.7 ,1.7 ,1.6 ,1.6 ,1.6 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5
scaletta.csv,Scaletta,1.3 ,1.8 ,0.7 ,1.2 ,  ,0.4 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,1.5 ,
